Sat Aug  1 23:33:16 2026    /home/dev/generals-d384-smoke-artifacts/phase_profile.pstats

         40112797 function calls (39369559 primitive calls) in 181.480 seconds

   Ordered by: cumulative time
   List reduced from 8850 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4353    0.015    0.000   24.064    0.006 /home/dev/generals-d384-smoke-src/.venv/lib/python3.11/site-packages/jax/_src/core.py:1285(process_primitive)
39719/12722    0.369    0.000   20.180    0.002 /home/dev/generals-d384-smoke-src/.venv/lib/python3.11/site-packages/jax/_src/interpreters/batching.py:255(process_primitive)
      418   18.052    0.043   18.958    0.045 /home/dev/generals-d384-smoke-src/.venv/lib/python3.11/site-packages/jax/_src/interpreters/pxla.py:374(__call__)
37870/17541    0.335    0.000   18.859    0.001 /home/dev/generals-d384-smoke-src/.venv/lib/python3.11/site-packages/jax/_src/pjit.py:616(_infer_params)
 2712/749    0.158    0.000   18.209    0.024 /home/dev/generals-d384-smoke-src/.venv/lib/python3.11/site-packages/jax/_src/pjit.py:466(_trace_for_jit)
 2993/885    0.098    0.000   18.007    0.020 /home/dev/generals-d384-smoke-src/.venv/lib/python3.11/site-packages/jax/_src/interpreters/partial_eval.py:2268(trace_to_jaxpr)
      418    0.012    0.000   17.360    0.042 /home/dev/generals-d384-smoke-src/.venv/lib/python3.11/site-packages/jax/_src/pjit.py:1082(_resolve_and_lower)
      418    0.002    0.000   17.307    0.041 /home/dev/generals-d384-smoke-src/.venv/lib/python3.11/site-packages/jax/_src/pjit.py:1247(_pjit_lower)
      418    0.067    0.000   17.300    0.041 /home/dev/generals-d384-smoke-src/.venv/lib/python3.11/site-packages/jax/_src/interpreters/pxla.py:954(lower_sharding_computation)
     3639    0.365    0.000   16.743    0.005 /home/dev/generals-d384-smoke-src/.venv/lib/python3.11/site-packages/jax/_src/dispatch.py:81(apply_primitive)
      418    0.062    0.000   14.970    0.036 /home/dev/generals-d384-smoke-src/.venv/lib/python3.11/site-packages/jax/_src/interpreters/pxla.py:695(_cached_lowering_to_hlo)
      418    0.512    0.001   14.882    0.036 /home/dev/generals-d384-smoke-src/.venv/lib/python3.11/site-packages/jax/_src/interpreters/mlir.py:1287(lower_jaxpr_to_module)
 2499/418    0.321    0.000   12.290    0.029 /home/dev/generals-d384-smoke-src/.venv/lib/python3.11/site-packages/jax/_src/interpreters/mlir.py:1610(lower_jaxpr_to_fun)
10809/6831    0.091    0.000   12.037    0.002 /home/dev/generals-d384-smoke-src/.venv/lib/python3.11/site-packages/jax/_src/pjit.py:1449(_pjit_batcher)
       34    0.004    0.000   11.885    0.350 /home/dev/generals-d384-smoke-src/generals/core/env.py:192(_make_single_state_fixed)
 3725/418    0.809    0.000   11.634    0.028 /home/dev/generals-d384-smoke-src/.venv/lib/python3.11/site-packages/jax/_src/interpreters/mlir.py:2075(jaxpr_subcomp)
1193/1112    0.018    0.000   11.319    0.010 /home/dev/generals-d384-smoke-src/.venv/lib/python3.11/site-packages/jax/_src/tree_util.py:387(tree_map)
22083/20293    0.015    0.000   11.214    0.001 /home/dev/generals-d384-smoke-src/.venv/lib/python3.11/site-packages/jax/_src/tree_util.py:399(<genexpr>)
22935/2626    0.130    0.000   11.117    0.004 /home/dev/generals-d384-smoke-src/.venv/lib/python3.11/site-packages/jax/_src/interpreters/mlir.py:2395(_uncached_lowering)
22935/2626    0.239    0.000   11.090    0.004 /home/dev/generals-d384-smoke-src/.venv/lib/python3.11/site-packages/jax/_src/interpreters/mlir.py:2462(lower_per_platform)
      108    0.001    0.000   10.878    0.101 /home/dev/generals-d384-smoke-src/.venv/lib/python3.11/site-packages/jax/_src/tree.py:116(map)
        8    0.001    0.000   10.459    1.307 /home/dev/generals-d384-smoke-src/.venv/lib/python3.11/site-packages/equinox/_module/_prebuilt.py:44(__call__)
2469/1253    0.063    0.000   10.019    0.008 /home/dev/generals-d384-smoke-src/.venv/lib/python3.11/site-packages/jax/_src/interpreters/partial_eval.py:2342(trace_to_jaxpr_dynamic)
